[2023-11-13 17:28:27:552][background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
[2023-11-13 17:28:27:558][main] INFO  c.goorp.backend.BackendApplication - Starting BackendApplication using Java 19.0.2 on goormui-MacBookPro.local with PID 18002 (/Users/goorm/project/backend/build/classes/java/main started by goorm in /Users/goorm/project/backend)
[2023-11-13 17:28:27:559][main] INFO  c.goorp.backend.BackendApplication - The following 1 profile is active: "local"
[2023-11-13 17:28:27:1264][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-11-13 17:28:28:1313][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 44 ms. Found 4 JPA repository interfaces.
[2023-11-13 17:28:28:1755][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2023-11-13 17:28:28:1759][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2023-11-13 17:28:28:1760][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2023-11-13 17:28:28:1760][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
[2023-11-13 17:28:28:1830][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2023-11-13 17:28:28:1830][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1201 ms
[2023-11-13 17:28:28:1855][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2023-11-13 17:28:28:1982][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2023-11-13 17:28:28:2006][main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:goorpLocal'
[2023-11-13 17:28:28:2191][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-11-13 17:28:28:2217][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-11-13 17:28:28:2299][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-11-13 17:28:29:2346][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[2023-11-13 17:28:29:2789][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-11-13 17:28:29:2796][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-11-13 17:28:29:3193][main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 8cc4e25f-7128-4e3b-a0ef-1ff320ae83d6

This generated password is for development use only. Your security configuration must be updated before running your application in production.

[2023-11-13 17:28:29:3257][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2023-11-13 17:28:30:3379][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5a5b394, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6c9b6332, org.springframework.security.web.context.SecurityContextPersistenceFilter@7d60bd5a, org.springframework.security.web.header.HeaderWriterFilter@2f64f99f, org.springframework.web.filter.CorsFilter@384b3fe7, org.springframework.security.web.authentication.logout.LogoutFilter@533e8807, com.goorp.backend.configuration.AccessLoggingFilter@4889fbba, com.goorp.backend.configuration.JwtExceptionFilter@6018d82c, com.goorp.backend.configuration.JwtFilter@572db5ee, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@13f7c165, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7a2fd94c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@36f80ceb, org.springframework.security.web.session.SessionManagementFilter@66ab088c, org.springframework.security.web.access.ExceptionTranslationFilter@5eb9bf7d, org.springframework.security.web.access.intercept.AuthorizationFilter@102f3f05]
[2023-11-13 17:28:30:3668][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2023-11-13 17:28:30:3678][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2023-11-13 17:28:30:3690][main] INFO  c.goorp.backend.BackendApplication - Started BackendApplication in 3.533 seconds (JVM running for 9.139)
[2023-11-13 17:50:31:1324749][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-11-13 17:50:31:1324753][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2023-11-13 17:50:31:1324755][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
